,time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,risk
93,2023-02-19,-0.2,-1.8,89.1,2.9,278.3,12.7,1019.2,15.0,3
94,2023-02-20,0.9,-0.3,92.0,20.3,266.2,18.1,1017.7,16.0,2
95,2023-02-21,-1.6,-2.8,91.5,16.7,261.2,16.1,1000.0,16.0,2
96,2023-02-22,-6.2,-8.4,84.5,0.6,97.7,7.4,996.9,21.0,2
97,2023-02-23,-13.3,-16.2,79.1,0.0,87.1,10.7,1003.3,5.0,2
98,2023-02-24,-13.6,-17.4,73.7,0.0,95.4,11.7,1016.4,3.0,1
99,2023-02-25,-8.8,-12.3,76.2,0.0,73.1,4.9,1015.1,3.0,2
100,2023-02-26,-5.6,-8.0,83.4,7.7,0.5,6.5,998.6,16.0,2
101,2023-02-27,-5.8,-7.6,86.7,2.0,52.9,5.6,1000.0,15.0,1
102,2023-02-28,-4.8,-7.0,85.0,3.2,16.8,6.1,994.6,21.0,1
103,2023-03-01,-4.8,-7.5,81.7,0.0,262.3,7.5,1008.4,5.0,2
104,2023-03-02,-3.1,-5.0,87.0,9.7,270.9,12.7,1011.2,16.0,2
105,2023-03-03,-3.9,-5.8,86.6,5.1,263.0,11.7,1010.6,15.0,2
106,2023-03-04,-3.7,-5.8,85.4,6.9,85.1,7.4,1000.4,16.0,2
107,2023-03-05,-3.9,-6.5,82.5,0.2,61.8,5.3,1001.3,5.0,1
108,2023-03-06,-2.9,-5.4,83.4,1.9,70.4,5.2,1010.8,15.0,1
109,2023-03-07,-3.0,-4.7,88.0,0.0,72.7,6.2,1014.5,5.0,1
110,2023-03-08,-2.9,-4.8,86.5,0.9,70.1,5.9,1011.8,21.0,1
111,2023-03-09,-3.8,-5.3,89.0,1.7,72.9,7.2,1011.6,15.0,1
112,2023-03-10,-2.8,-4.3,89.4,8.7,52.3,9.6,995.6,16.0,1
113,2023-03-11,-1.4,-3.5,86.1,1.2,333.7,4.3,1008.1,21.0,1
114,2023-03-12,-1.7,-3.5,87.3,0.5,56.9,5.4,1011.8,14.0,2
115,2023-03-13,-0.5,-1.7,92.0,14.8,33.6,6.3,1004.6,16.0,2
